"2556_S0001","Average=None","QualityFlag=FALSE","QualityValue=FALSE"
"DateTime","MP1\WQ_COND","MP1\WQ_DO","MP1\WQ_DO_SAT","MP1\WQ_NH4","MP1\WQ_PH","MP1\WQ_TEMP",,
"dd/MM/yyyy HH:mm:ss","mS/cm","mg/L","Sat%","mg/L","PH","deg C",,
03/07/2024 09:30:00,0.65,9.71,90.35,0.35,8.00,12.01,,
03/07/2024 09:35:00,0.65,9.72,90.42,0.34,8.00,12.01,,
03/07/2024 09:40:00,0.66,9.71,90.40,0.35,7.99,12.01,,
03/07/2024 09:45:00,0.65,9.72,90.44,0.34,7.99,12.01,,
03/07/2024 09:50:00,0.66,9.73,90.54,0.35,7.99,12.02,,
03/07/2024 09:55:00,0.66,9.72,90.50,0.35,7.99,12.02,,
03/07/2024 10:00:00,0.66,9.73,90.51,0.35,7.99,12.02,,
03/07/2024 10:05:00,0.66,9.73,90.58,0.35,7.99,12.02,,
03/07/2024 10:10:00,0.66,9.75,90.74,0.34,8.00,12.03,,
03/07/2024 10:15:00,0.66,9.76,90.84,0.34,7.99,12.03,,
03/07/2024 10:20:00,0.66,9.76,90.84,0.34,7.98,12.04,,
03/07/2024 10:25:00,0.64,9.72,90.69,0.34,7.96,12.13,,
03/07/2024 10:30:00,0.63,9.68,90.50,0.33,7.95,12.21,,
03/07/2024 10:35:00,0.63,9.67,90.47,0.33,7.95,12.23,,
03/07/2024 10:40:00,0.64,9.68,90.50,0.33,7.94,12.23,,
03/07/2024 10:45:00,0.64,9.68,90.51,0.33,7.94,12.22,,
03/07/2024 10:50:00,0.64,9.68,90.54,0.33,7.94,12.22,,
03/07/2024 10:55:00,0.64,9.68,90.57,0.33,7.93,12.25,,
03/07/2024 11:00:00,0.65,9.69,90.71,0.33,7.94,12.27,,
03/07/2024 11:05:00,0.65,9.71,90.96,0.33,7.94,12.28,,
03/07/2024 11:10:00,0.66,9.74,91.22,0.33,7.95,12.29,,
03/07/2024 11:15:00,0.66,9.77,91.48,0.33,7.96,12.28,,
03/07/2024 11:20:00,0.66,9.78,91.54,0.33,7.96,12.27,,
03/07/2024 11:25:00,0.67,9.78,91.48,0.33,7.97,12.25,,
03/07/2024 11:30:00,0.67,9.76,91.31,0.33,7.97,12.24,,
03/07/2024 11:35:00,0.67,9.76,91.29,0.33,7.97,12.24,,
03/07/2024 11:40:00,0.67,9.76,91.29,0.33,7.98,12.24,,
03/07/2024 11:45:00,0.67,9.78,91.57,0.33,7.99,12.26,,
