!Version=1,type=HYD,encoding=MBCS
UserSettings,U_LEVEL,U_CONDHEIGHT,U_VALUES,U_DATETIME
UserSettingsValues,m AD,mm,m,dd-mm-yyyy hh:mm
G_START,G_TS,G_NPROFILES
18/08/2025 00:00:00,120,2
L_LINKID,L_INVERTLEVEL,L_CONDHEIGHT,L_GROUNDLEVEL,L_PTITLE
     F0002,0,    0,0,
     F0003,0,    0,0,
P_DATETIME,1,2
18/08/2025 00:00:00,0.070954,0.039155
18/08/2025 00:02:00,0.070865,0.039042
18/08/2025 00:04:00,0.070775,0.038929
18/08/2025 00:06:00,0.070685,0.038815
18/08/2025 00:08:00,0.070596,0.038702
18/08/2025 00:10:00,0.070506,0.038588
18/08/2025 00:12:00,0.070417,0.038475
18/08/2025 00:14:00,0.070327,0.038361
18/08/2025 00:16:00,0.070237,0.038248
18/08/2025 00:18:00,0.070148,0.038135
18/08/2025 00:20:00,0.070058,0.038021
18/08/2025 00:22:00,0.069979,0.037894
18/08/2025 00:24:00,0.069899,0.037778
18/08/2025 00:26:00,0.069810,0.037661
18/08/2025 00:28:00,0.069714,0.037545
18/08/2025 00:30:00,0.069635,0.037439
18/08/2025 00:32:00,0.069550,0.037328
18/08/2025 00:34:00,0.069450,0.037217
18/08/2025 00:36:00,0.069354,0.037116
18/08/2025 00:38:00,0.069275,0.037037
18/08/2025 00:40:00,0.069180,0.036963
18/08/2025 00:42:00,0.069106,0.036894
18/08/2025 00:44:00,0.069026,0.036810
18/08/2025 00:46:00,0.068952,0.036730
18/08/2025 00:48:00,0.068884,0.036640
18/08/2025 00:50:00,0.068815,0.036561
18/08/2025 00:52:00,0.068746,0.036476
18/08/2025 00:54:00,0.068672,0.036386
18/08/2025 00:56:00,0.068603,0.036307
18/08/2025 00:58:00,0.068529,0.036233
18/08/2025 01:00:00,0.068455,0.036169
18/08/2025 01:02:00,0.068386,0.036101
18/08/2025 01:04:00,0.068317,0.036042
18/08/2025 01:06:00,0.068254,0.035989
18/08/2025 01:08:00,0.068196,0.035937
18/08/2025 01:10:00,0.068148,0.035878
18/08/2025 01:12:00,0.068101,0.035820
18/08/2025 01:14:00,0.068032,0.035741
18/08/2025 01:16:00,0.067979,0.035651
18/08/2025 01:18:00,0.067899,0.035556
18/08/2025 01:20:00,0.067810,0.035444
18/08/2025 01:22:00,0.067725,0.035323
18/08/2025 01:24:00,0.067651,0.035190
18/08/2025 01:26:00,0.067577,0.035063
18/08/2025 01:28:00,0.067497,0.034937
18/08/2025 01:30:00,0.067407,0.034825
18/08/2025 01:32:00,0.067328,0.034720
18/08/2025 01:34:00,0.067254,0.034635
18/08/2025 01:36:00,0.067185,0.034566
18/08/2025 01:38:00,0.067111,0.034497
18/08/2025 01:40:00,0.067048,0.034429
18/08/2025 01:42:00,0.066984,0.034360
18/08/2025 01:44:00,0.066915,0.034286
18/08/2025 01:46:00,0.066847,0.034201
18/08/2025 01:48:00,0.066767,0.034127
18/08/2025 01:50:00,0.066693,0.034063
18/08/2025 01:52:00,0.066614,0.034011
18/08/2025 01:54:00,0.066529,0.033963
18/08/2025 01:56:00,0.066460,0.033921
18/08/2025 01:58:00,0.066402,0.033905
18/08/2025 02:00:00,0.066365,0.033889
18/08/2025 02:02:00,0.066339,0.033862
18/08/2025 02:04:00,0.066317,0.033847
18/08/2025 02:06:00,0.066265,0.033852
18/08/2025 02:08:00,0.066212,0.033873
18/08/2025 02:10:00,0.066164,0.033899
18/08/2025 02:12:00,0.066127,0.033931
18/08/2025 02:14:00,0.066090,0.033974
18/08/2025 02:16:00,0.066053,0.034016
18/08/2025 02:18:00,0.066016,0.034069
18/08/2025 02:20:00,0.065984,0.034116
18/08/2025 02:22:00,0.065952,0.034185
18/08/2025 02:24:00,0.065926,0.034280
18/08/2025 02:26:00,0.065915,0.034392
18/08/2025 02:28:00,0.065899,0.034497
18/08/2025 02:30:00,0.065878,0.034608
18/08/2025 02:32:00,0.065847,0.034704
18/08/2025 02:34:00,0.065825,0.034767
18/08/2025 02:36:00,0.065804,0.034810
18/08/2025 02:38:00,0.065778,0.034857
18/08/2025 02:40:00,0.065751,0.034878
