Catchment,monitor_name,DAY,Class,Updated_Class,max_depth,min_depth,ave_depth,std_dev_depth,zero_depth,max_velocity,min_velocity,ave_velocity,std_dev_velocity,zero_velocity,m_type
IGOMSC,FM002,08/02/2018,Q,Q,85,24,41.50416667,11.48682425,0,0.42,0,0.097583333,0.08760287,61,FM
IGOMSC,FM002,31/12/2017,Q,Q,114,48,75.7375,14.18844892,0,0.56,0,0.212791667,0.174130419,72,FM
IGOMSC,FM002,22/02/2018,Q,Q,111,33,52.52361111,14.34211431,0,0.52,0,0.216125,0.089378076,1,FM
IGOMSC,FM002,25/01/2018,Q,Q,97,37,60.01388889,12.6341404,0,0.48,0.18,0.300138889,0.054249028,0,FM
IGOMSC,FM002,28/01/2018,Q,Q,93,30,49.3625,12.63813178,0,0.47,0.1,0.254694444,0.064209462,0,FM
IGOMSC,FM002,03/01/2018,Q,Q,107,41,64.85277778,13.61840337,0,0.58,0.15,0.305111111,0.07405211,0,FM
IGOMSC,FM002,28/12/2017,Q,Q,119,46,74.01111111,14.45408591,0,0.56,0.01,0.275861111,0.10036142,0,FM
IGOMSC,FM002,31/01/2018,Q,Q,138,34,59.11805556,18.72177394,0,0.57,0.11,0.273722222,0.077705486,0,FM
IGOMSC,FM002,09/12/2017,Q,Q,95,28,49.84444444,11.91068861,0,0.42,0,0.139597222,0.099250201,144,FM
IGOMSC,FM002,11/01/2018,Q,Q,88,27,46.13194444,12.13762442,0,0.52,0.07,0.248722222,0.071708966,0,FM
IGOMSC,FM002,28/02/2018,Q,Q,94,28,46.00416667,11.53859024,0,0.43,0,0.180625,0.088990778,8,FM
IGOMSC,FM002,19/01/2018,Q,Q,97,38,56.10972222,12.35442812,0,0.46,0.03,0.213611111,0.087576004,0,FM
IGOMSC,FM002,11/12/2017,Q,Q,104,40,62.03472222,12.98593076,0,0.5,0.06,0.248513889,0.080401547,0,FM
IGOMSC,FM002,25/02/2018,Q,Q,96,27,49.66944444,13.62682292,0,0.49,0,0.188097222,0.11702438,53,FM
IGOMSC,FM002,04/12/2017,Q,Q,99,32,53.37777778,12.33611591,0,0.5,0,0.186277778,0.09107933,6,FM
IGOMSC,FM002,14/01/2018,Q,Q,97,29,48.88333333,12.61124076,0,0.5,0.06,0.254527778,0.074965355,0,FM
IGOMSC,FM002,26/12/2017,Q,Q,121,33,59.20138889,17.12970233,0,0.63,0.14,0.294375,0.085667783,0,FM
IGOMSC,FM002,02/01/2018,Q,Q,137,35,68.50416667,20.16703501,0,0.68,0.11,0.335694444,0.09923247,0,FM
IGOMSC,FM002,20/12/2017,Q,Q,97,40,58.96666667,10.99621885,0,0.47,0,0.157055556,0.096017773,59,FM
IGOMSC,FM002,26/01/2018,Q,Q,93,34,52.04166667,12.32841906,0,0.44,0.15,0.267722222,0.056266113,0,FM
IGOMSC,FM002,13/12/2017,Q,Q,126,47,71.46805556,15.28547381,0,0.56,0,0.199444444,0.119495799,10,FM
IGOMSC,FM002,22/12/2017,Q,Q,94,28,49.44166667,12.41793926,0,0.48,0,0.18575,0.078254559,6,FM
IGOMSC,FM002,02/03/2018,Q,Q,112,23,46.27361111,14.81556049,0,0.53,0,0.177972222,0.102179581,16,FM
IGOMSC,FM002,23/12/2017,Q,Q,95,28,51.64444444,12.65784775,0,0.45,0.01,0.189152778,0.073038401,0,FM
IGOMSC,FM002,27/02/2018,Q,Q,95,25,47.1625,12.85080687,0,0.46,0,0.191416667,0.088604974,2,FM
IGOMSC,FM002,06/12/2017,Q,Q,103,35,53.81527778,11.97136314,0,0.47,0,0.136208333,0.096200046,59,FM
IGOMSC,FM002,21/01/2018,Q,Q,134,29,65.21388889,28.11750283,0,0.57,0,0.236152778,0.150246173,16,FM
IGOMSC,FM002,24/01/2018,Q,Q,211,37,80.80416667,36.75232648,0,0.66,0.13,0.346083333,0.118471695,0,FM
IGOMSC,FM002,17/02/2018,Q,Q,94,33,50.8375,12.32273403,0,0.47,0,0.182763889,0.106464225,16,FM
IGOMSC,FM002,30/12/2017,W,W,161,54,95.30277778,25.32036717,0,0.56,0,0.218597222,0.121798548,1,FM
IGOMSC,FM002,10/12/2017,Q,Q,123,34,66.69027778,20.79664879,0,0.55,0,0.240027778,0.148636826,38,FM
IGOMSC,FM002,14/02/2018,Q,Q,111,29,53.74166667,17.03379403,0,0.52,0,0.190708333,0.115640195,20,FM
IGOMSC,FM002,16/01/2018,Q,Q,158,45,79.32361111,20.46380157,0,0.71,0.16,0.365527778,0.083842022,0,FM
IGOMSC,FM002,24/12/2017,Q,Q,101,30,51.475,12.0895793,0,0.54,0.01,0.231375,0.098021731,0,FM
IGOMSC,FM002,02/02/2018,Q,Q,94,33,53.28194444,12.71260177,0,0.45,0.12,0.237541667,0.059524644,0,FM
IGOMSC,FM002,10/01/2018,Q,Q,100,29,49.98611111,13.61929525,0,0.55,0.11,0.272694444,0.076520042,0,FM
IGOMSC,FM002,15/02/2018,Q,Q,92,30,50.28333333,12.01368019,0,0.46,0,0.155569444,0.101392026,10,FM
IGOMSC,FM002,09/01/2018,Q,Q,95,31,50.24722222,12.51280259,0,0.56,0.06,0.259069444,0.075779459,0,FM
IGOMSC,FM002,19/02/2018,Q,Q,113,30,57.30416667,16.97975509,0,0.53,0,0.274388889,0.108386389,3,FM
IGOMSC,FM002,09/02/2018,W,W,182,26,84.3375,26.43345195,0,0.73,0,0.364902778,0.095919481,1,FM
IGOMSC,FM002,01/01/2018,Q,Q,113,37,62.50138889,13.62226347,0,0.55,0.07,0.305222222,0.080609331,0,FM
IGOMSC,FM002,10/02/2018,Q,Q,125,40,72.57916667,19.81743825,0,0.56,0.09,0.309208333,0.096087935,0,FM
IGOMSC,FM002,15/12/2017,W,W,151,40,86.0625,23.48615985,0,0.63,0.02,0.308430556,0.121725692,0,FM
IGOMSC,FM002,21/02/2018,Q,Q,99,37,54.00138889,12.49773268,0,0.53,0,0.213555556,0.117788487,26,FM
IGOMSC,FM002,14/12/2017,Q,Q,115,0,63.27222222,13.15736807,4,0.52,0,0.237013889,0.082817895,4,FM
IGOMSC,FM002,03/12/2017,Q,Q,109,39,61.56944444,13.22725974,0,0.54,0,0.195472222,0.136305512,161,FM
IGOMSC,FM002,27/12/2017,W,W,208,70,150.2166667,39.28714944,0,0.93,0.34,0.655361111,0.141963707,0,FM
IGOMSC,FM002,12/02/2018,Q,Q,98,36,53.61944444,11.99685447,0,0.44,0,0.188152778,0.087628651,3,FM
IGOMSC,FM002,23/02/2018,Q,Q,113,31,51.54027778,13.57812771,0,0.47,0,0.206694444,0.106594345,14,FM
IGOMSC,FM002,23/01/2018,Q,Q,100,36,56.65138889,14.3652677,0,0.48,0.13,0.260361111,0.061645337,0,FM
IGOMSC,FM002,13/01/2018,Q,Q,93,28,45.74166667,12.09845736,0,0.48,0.01,0.224125,0.083593233,0,FM
IGOMSC,FM002,26/02/2018,Q,Q,94,26,46.48055556,12.76467918,0,0.49,0,0.193430556,0.097600036,20,FM
